,count,mean,std,min,25%,50%,75%,max
fwd_pkts_payload.max,123117.0,120.74913293858687,121.29973843766717,0.0,120.0,120.0,120.0,1420.0
fwd_pkts_payload.tot,123117.0,221.51910784050943,4820.400607241881,0.0,120.0,120.0,120.0,747340.0
fwd_pkts_payload.avg,123117.0,100.52382706973854,46.09781553686088,0.0,120.0,120.0,120.0,1319.3654390000002
fwd_pkts_payload.std,123117.0,8.107768250079193,45.04189730586763,0.0,0.0,0.0,0.0,731.579342
bwd_pkts_payload.min,123117.0,3.8175231690180884,19.611199507798162,0.0,0.0,0.0,0.0,1357.0
bwd_pkts_payload.max,123117.0,52.40500499524842,231.3053460609534,0.0,0.0,0.0,0.0,5124.0
bwd_pkts_payload.tot,123117.0,512.9980912465378,42441.4329354221,0.0,0.0,0.0,0.0,13610415.0
bwd_pkts_payload.avg,123117.0,18.786781843782748,83.48305794343881,0.0,0.0,0.0,0.0,1457.052632
bwd_pkts_payload.std,123117.0,20.553025422305613,93.39759607088229,0.0,0.0,0.0,0.0,1506.011875
flow_pkts_payload.min,123117.0,13.554440085447176,35.47222662773824,0.0,0.0,0.0,0.0,1097.0
flow_pkts_payload.max,123117.0,148.51090426179974,218.23239851277953,0.0,120.0,120.0,120.0,5124.0
flow_pkts_payload.tot,123117.0,734.5171990870473,42965.99170754343,0.0,120.0,120.0,120.0,13610585.0
flow_pkts_payload.avg,123117.0,65.01019417995077,50.412145014640956,0.0,60.0,60.0,60.0,1156.084685
flow_pkts_payload.std,123117.0,76.04165388866687,74.0199031843167,0.0,50.219518,84.852814,84.852814,924.651958
fwd_iat.min,123117.0,8843.266007456705,1226520.651055776,0.0,0.0,0.0,0.0,300252571.105957
fwd_iat.max,123117.0,1721565.5656119254,9229084.833411684,0.0,0.0,0.0,0.0,300252571.105957
fwd_iat.tot,123117.0,3780208.459119567,129967463.12494884,0.0,0.0,0.0,0.0,21728335577.964783
fwd_iat.avg,123117.0,237357.4999082678,1895354.2308411582,0.0,0.0,0.0,0.0,300252571.105957
fwd_iat.std,123117.0,577557.3902943486,3204812.843965658,0.0,0.0,0.0,0.0,212296532.15700305
bwd_iat.min,123117.0,3764.8487001178314,226314.67670320524,0.0,0.0,0.0,0.0,43196219.92
bwd_iat.max,123117.0,407726.6851305548,4288635.725288166,0.0,0.0,0.0,0.0,300028178.930283
bwd_iat.tot,123117.0,1779892.5501531262,91211956.42373462,0.0,0.0,0.0,0.0,18761168572.90268
bwd_iat.avg,123117.0,87652.13100238422,1097455.5593467667,0.0,0.0,0.0,0.0,150148934.483528
bwd_iat.std,123117.0,147480.26161470305,1784790.9716386138,0.0,0.0,0.0,0.0,211961260.21483305
flow_iat.min,123117.0,4283.079302804356,254491.00112862707,0.0,0.953674,3.814697,5.0067900000000005,43510041.95
flow_iat.max,123117.0,1725999.0594020789,9250248.67105029,0.0,0.953674,4.053116,5.0067900000000005,299999988.079071
flow_iat.tot,123117.0,3810575.0099471603,130005683.17587163,0.0,0.953674,4.053116,5.0067900000000005,21728335577.964783
flow_iat.avg,123117.0,139654.4859858932,874802.6415186542,0.0,0.953674,4.053116,5.0067900000000005,72835758.209229
flow_iat.std,123117.0,450136.20782700187,2506219.631298916,0.0,0.0,0.0,0.0,134122073.264841
payload_bytes_per_second,123117.0,41053451.791947186,44857059.62551466,0.0,2580.9811050000003,29606851.764706,55924053.33333299,125829120.0
fwd_subflow_pkts,123117.0,1.55171492457581,2.7169570371765617,0.0,1.0,1.0,1.0,276.833333
bwd_subflow_pkts,123117.0,1.337718037094796,6.007413106647468,0.0,1.0,1.0,1.0,1685.3333329999996
fwd_subflow_bytes,123117.0,136.4795044525614,428.90535709579643,0.0,120.0,120.0,120.0,52067.75
bwd_subflow_bytes,123117.0,217.51781357680903,7580.753334257161,0.0,0.0,0.0,0.0,2268402.5
fwd_bulk_bytes,123117.0,19.249936844676203,1974.617810092346,0.0,0.0,0.0,0.0,465095.0
bwd_bulk_bytes,123117.0,155.23368031036333,19592.952252093306,0.0,0.0,0.0,0.0,6805207.5
fwd_bulk_packets,123117.0,0.024143915917379404,1.4847586566545956,0.0,0.0,0.0,0.0,343.0
bwd_bulk_packets,123117.0,0.13111282891071097,14.546545345109203,0.0,0.0,0.0,0.0,5052.5
fwd_bulk_rate,123117.0,3835.746170671857,308033.44567153446,0.0,0.0,0.0,0.0,46336283.320158005
bwd_bulk_rate,123117.0,48414.60242473896,685248.0369515755,0.0,0.0,0.0,0.0,28300874.03666
active.min,123117.0,133154.55258254724,1042331.9488773886,0.0,0.953674,4.053116,5.0067900000000005,312507973.909378
active.max,123117.0,178589.77091717653,3011783.9235072155,0.0,0.953674,4.053116,5.0067900000000005,848097908.9736941
active.tot,123117.0,292930.81329288456,14452791.840658408,0.0,0.953674,4.053116,5.0067900000000005,2945221457.719804
active.avg,123117.0,148135.36002188004,1613006.8553948102,0.0,0.953674,4.053116,5.0067900000000005,437493061.90013903
active.std,123117.0,23535.991798632123,1477934.7834046367,0.0,0.0,0.0,0.0,477486235.572144
idle.min,123117.0,1616654.9809946683,8809395.618399063,0.0,0.0,0.0,0.0,299999988.079071
idle.max,123117.0,1701955.57613767,9252336.584215734,0.0,0.0,0.0,0.0,299999988.079071
idle.tot,123117.0,3517644.196654799,122950780.4057065,0.0,0.0,0.0,0.0,20967770208.120342
idle.avg,123117.0,1664984.7556808067,9007063.985914525,0.0,0.0,0.0,0.0,299999988.079071
idle.std,123117.0,45501.83169202243,1091361.4017154097,0.0,0.0,0.0,0.0,120802870.628073
fwd_init_window_size,123117.0,6118.905122769398,18716.313860844642,0.0,64.0,64.0,64.0,65535.0
bwd_init_window_size,123117.0,2739.7760179341603,10018.848534477436,0.0,0.0,0.0,0.0,65535.0
fwd_last_window_size,123117.0,751.6475141532038,6310.183842592244,0.0,64.0,64.0,64.0,65535.0
